subject,sessionIndex,rep,DD.period.t,UU.period.t,DD.t.i,UU.t.i,DD.i.e,UU.i.e,DD.e.five,UU.e.five,DD.five.Shift.r,UU.five.Shift.r,DD.Shift.r.o,UU.Shift.r.o,DD.o.a,UU.o.a,DD.a.n,UU.a.n,DD.n.l,UU.n.l,DD.l.Return,UU.l.Return
s031,5,25,0.2987,0.2671,0.1584,0.1533,0.1235,0.1177,0.2180,0.2091,0.3451,0.3863,0.2408,0.2700,0.1933,0.2094,0.1779,0.1397,0.2550,0.2220,0.3150,0.3031
s031,5,26,0.2625,0.2548,0.1647,0.1537,0.3888,0.4043,0.2821,0.2740,0.4844,0.5070,0.2512,0.2214,0.0919,0.1558,0.1751,0.1205,0.1777,0.1861,0.3245,0.3071
s031,5,27,0.2913,0.2713,0.1389,0.1402,0.1112,0.1162,0.2460,0.2341,0.8347,0.8683,0.2685,0.2629,0.1379,0.1846,0.1370,0.0877,0.1740,0.1927,0.3198,0.2889
s031,5,28,0.1752,0.1567,0.1170,0.1138,0.1256,0.1351,0.2507,0.2462,0.5273,0.5590,0.2941,0.2788,0.1189,0.1493,0.1366,0.0904,0.1473,0.1771,0.3256,0.2974
s031,5,29,0.2340,0.1849,0.1233,0.1447,0.1341,0.1267,0.2924,0.2692,0.5068,0.5643,0.2539,0.2257,0.1947,0.2395,0.2410,0.1864,0.2267,0.2412,0.3258,0.2994
s031,5,30,0.2390,0.2279,0.1338,0.1251,0.1325,0.1199,1.4794,1.4804,0.4495,0.4886,0.3051,0.2850,0.1619,0.1814,0.1600,0.1511,0.3911,0.3739,0.5063,0.5031
s031,5,31,0.2570,0.2340,0.1539,0.1365,0.1151,0.1301,0.2306,0.2206,0.3716,0.4052,0.2337,0.2223,0.1157,0.1785,0.1624,0.1096,0.1961,0.2103,0.3691,0.3538
s031,5,32,0.2330,0.2452,0.1421,0.1270,0.1294,0.1334,0.6642,0.6605,0.3894,0.4135,0.2308,0.2318,0.1292,0.1598,0.1350,0.1168,0.2035,0.1924,0.3127,0.2947
s031,5,33,0.2480,0.2274,0.1945,0.1795,0.2339,0.2816,0.3053,0.3022,0.5023,0.4931,0.2450,0.2328,0.1329,0.1688,0.1207,0.0969,0.1647,0.1647,0.3089,0.2881
s031,5,34,0.2114,0.1850,0.1888,0.1600,0.1463,0.1687,0.2710,0.2834,0.4742,0.4964,0.1969,0.1800,0.1482,0.1986,0.1508,0.0959,0.2198,0.2214,0.3823,0.3594
s031,5,35,0.2163,0.1907,0.1491,0.1436,0.1341,0.1412,0.2858,0.2771,0.6957,0.7430,0.2970,0.2700,0.1426,0.1714,0.1663,0.1320,0.1863,0.2021,0.3691,0.3446
s031,5,36,0.1802,0.1939,0.1584,0.1444,0.1372,0.1156,0.9365,0.9296,0.4566,0.4860,0.2318,0.2272,0.1041,0.1429,0.1457,0.0895,0.1531,0.1822,0.6644,0.6353
s031,5,37,0.1527,0.1622,0.1278,0.1178,0.1172,0.1190,0.3892,0.3884,0.4497,0.4643,0.2471,0.2534,0.1112,0.1450,0.1540,0.1228,0.1694,0.1884,0.3005,0.2478
s031,5,38,0.1982,0.2005,0.1225,0.1273,0.1373,0.1296,0.2393,0.2372,0.3444,0.3579,0.2217,0.2531,0.1205,0.1403,0.2131,0.1880,0.2003,0.1850,0.3741,0.3607
s031,5,39,0.3860,0.3847,0.2106,0.2135,0.1531,0.1378,0.3199,0.3378,0.4941,0.4899,0.2856,0.3162,0.1687,0.2022,0.2119,0.1589,0.2328,0.2083,0.3261,0.3192
s031,5,40,0.8014,0.8024,1.1991,1.1730,0.2632,0.2801,0.4283,0.3932,0.3748,0.3954,0.2511,0.2632,0.1310,0.1363,0.1455,0.1418,0.2375,0.2776,0.6296,0.5808
s031,5,41,0.2311,0.2008,0.3743,0.3711,0.5930,0.5862,1.0461,1.0358,0.3680,0.3916,0.2018,0.1898,0.1031,0.1353,0.1339,0.1030,0.1660,0.1961,0.4509,0.4337
s031,5,42,0.9542,0.8835,0.2553,0.2685,0.3342,0.3384,0.8856,0.8278,0.3783,0.4185,0.2181,0.2309,0.1117,0.1223,0.1751,0.1247,0.1689,0.1718,0.3588,0.3638
s031,5,43,0.1950,0.1689,0.1257,0.1164,0.1333,0.1497,0.2737,0.2507,0.4751,0.5216,0.2758,0.2642,0.1216,0.1458,0.1872,0.1548,0.1874,0.1882,0.5446,0.5564
s031,5,44,0.2351,0.2167,0.1759,0.1756,0.1750,0.1935,0.3415,0.3127,0.4577,0.5263,0.2502,0.2405,0.1049,0.1212,0.1724,0.1526,0.1750,0.1932,0.5757,0.5430
s031,5,45,0.2543,0.2097,0.1523,0.1669,0.1458,0.1157,0.2381,0.2273,0.6414,0.7182,0.2896,0.2595,0.1295,0.1527,0.1835,0.1647,0.2235,0.2425,0.4590,0.4028
s031,5,46,0.2386,0.1987,0.1357,0.1376,0.1228,0.1122,0.2536,0.2420,0.4242,0.4638,0.3831,0.4002,0.1859,0.1894,0.1867,0.1428,0.1625,0.1900,0.3229,0.3187
s031,5,47,0.3953,0.3504,0.2016,0.2014,0.1497,0.1476,0.2307,0.2156,0.4606,0.4931,0.3529,0.3774,0.1920,0.2005,0.2878,0.2469,0.2714,0.2975,0.4322,0.4074
s031,5,48,0.2990,0.2591,0.2259,0.2228,0.2524,0.2627,0.3555,0.3352,0.4303,0.4773,0.2440,0.2255,0.1208,0.1482,0.2067,0.1837,0.1826,0.1837,0.3702,0.3581
s031,5,49,0.2594,0.2145,0.1932,0.1996,0.1893,0.1840,0.3840,0.3674,0.4477,0.4933,0.2821,0.2821,0.1268,0.1440,0.1891,0.1835,0.1985,0.2017,0.3797,0.3385
s031,5,50,0.3401,0.3095,0.1921,0.2011,0.1478,0.1486,0.3014,0.2816,0.5132,0.5417,0.3851,0.4057,0.2340,0.2350,0.1811,0.1439,0.1731,0.1892,0.2720,0.2485
s031,6,1,0.2639,0.2190,0.1407,0.1610,0.1346,0.1299,1.2192,1.2113,0.6179,0.7192,0.2655,0.1990,0.1878,0.2229,0.1943,0.1378,0.1684,0.1914,0.3039,0.3094
s031,6,2,0.2609,0.2332,0.1151,0.1128,0.1160,0.1020,0.4632,0.4692,0.7540,0.8068,0.2072,0.1637,0.1334,0.1534,0.1349,0.1136,0.1600,0.1602,0.2844,0.2755
s031,6,3,0.2643,0.2453,0.1462,0.1484,0.1534,0.1547,0.3112,0.3059,0.4168,0.4577,0.2500,0.2373,0.1534,0.1767,0.1252,0.0927,0.1768,0.1876,0.2910,0.2686
s031,6,4,0.3111,0.3106,0.1767,0.1730,0.1819,0.1787,0.3283,0.3291,0.4324,0.4625,0.3453,0.3400,0.1978,0.2266,0.1292,0.0853,0.1581,0.1571,0.3060,0.2946
s031,6,5,0.2913,0.2370,0.1386,0.1602,0.1594,0.1410,0.3534,0.3425,0.7002,0.7459,0.2648,0.2508,0.1740,0.2051,0.1188,0.0840,0.1826,0.1934,0.3488,0.3245
s031,6,6,0.2565,0.2296,0.1626,0.1512,0.1491,0.1541,0.2776,0.2687,0.4524,0.4875,0.2920,0.2690,0.1131,0.1746,0.1505,0.0861,0.1613,0.1668,0.2894,0.2797
s031,6,7,0.3114,0.2898,0.1875,0.1751,0.1236,0.1323,0.2758,0.2681,0.3817,0.4155,0.2334,0.2197,0.1171,0.1548,0.1254,0.0784,0.1618,0.1864,0.2902,0.2464
s031,6,8,0.3634,0.3354,0.1782,0.1626,0.1296,0.1605,0.3362,0.3143,0.4297,0.4743,0.3133,0.3173,0.3704,0.3849,0.3078,0.2397,0.3283,0.3378,0.3620,0.3573
s031,6,9,0.3575,0.3496,0.2141,0.2228,0.2463,0.2349,0.3671,0.3624,0.5530,0.5957,0.2996,0.2545,0.1088,0.1756,0.1550,0.0840,0.1544,0.1824,0.2470,0.2443
s031,6,10,0.2446,0.2010,0.1441,0.1565,0.1148,0.1153,0.2525,0.2283,0.4847,0.5285,0.2793,0.2669,0.1258,0.1632,0.1341,0.0785,0.1526,0.1713,0.2931,0.2757
s031,6,11,0.2567,0.2338,0.1547,0.1462,0.1225,0.1386,0.2937,0.2803,0.4511,0.4933,0.2618,0.2489,0.1226,0.1550,0.1265,0.0693,0.1360,0.1687,0.3010,0.2735
s031,6,12,0.2364,0.2330,0.1753,0.1687,0.1347,0.1241,0.2956,0.2951,0.4076,0.4744,0.2959,0.2520,0.1302,0.1952,0.1524,0.0703,0.1623,0.1932,0.2741,0.2493
s031,6,13,0.3488,0.3071,0.1346,0.1220,0.1360,0.1370,0.2372,0.2401,0.3653,0.3928,0.1970,0.1938,0.0951,0.1220,0.1521,0.0957,0.1621,0.1871,0.2707,0.2377
s031,6,14,0.1860,0.1731,0.1117,0.1040,0.1380,0.1628,0.2320,0.2167,0.3671,0.3972,0.2019,0.2024,0.1917,0.2427,0.1244,0.0518,0.1560,0.1866,0.2641,0.2433
s031,6,15,0.2085,0.1765,0.1689,0.1856,0.1450,0.1312,0.2335,0.2222,0.3638,0.4105,0.2149,0.1835,0.1149,0.1519,0.1342,0.0787,0.1462,0.1819,0.2884,0.2501
s031,6,16,0.2177,0.2045,0.1732,0.1436,0.1132,0.1177,0.2188,0.1993,0.3474,0.3844,0.1819,0.1834,0.1323,0.1683,0.1204,0.0703,0.1408,0.1647,0.2818,0.2512
s031,6,17,0.2303,0.1995,0.1687,0.1805,0.1349,0.1357,0.2549,0.2277,0.4503,0.4970,0.3136,0.2659,0.0928,0.1535,0.1437,0.0867,0.1362,0.1684,0.2855,0.2514
s031,6,18,0.2657,0.2578,0.1803,0.1756,0.1170,0.1098,0.2290,0.2201,0.3516,0.3978,0.2118,0.1833,0.1155,0.1558,0.1347,0.0917,0.1586,0.1887,0.8006,0.7536
s031,6,19,0.1715,0.1250,0.1510,0.1574,0.2685,0.2758,0.2982,0.2613,0.3923,0.4284,0.2194,0.1991,0.0919,0.1199,0.1363,0.1054,0.1473,0.1840,0.3034,0.2622
s031,6,20,0.2319,0.2327,0.2014,0.1937,0.1275,0.1275,0.2409,0.2227,0.3973,0.4309,0.1901,0.1840,0.1334,0.1630,0.1080,0.0674,0.1598,0.1792,0.3134,0.3023
s031,6,21,0.1519,0.1266,0.1275,0.1288,0.1969,0.2114,0.2697,0.2447,0.4583,0.4977,0.2395,0.1953,0.0978,0.1633,0.1331,0.0808,0.1523,0.1700,0.3546,0.2767
s031,6,22,0.3430,0.3003,0.2297,0.2162,0.5436,0.5708,0.3415,0.3283,0.3553,0.3902,0.2210,0.2109,0.1067,0.1526,0.1349,0.0785,0.1428,0.1570,0.3287,0.3102
s031,6,23,0.1683,0.1472,0.1312,0.1241,0.1365,0.1444,0.2549,0.2425,0.3912,0.4028,0.1937,0.2069,0.1833,0.1398,0.1070,0.1415,0.1834,0.1919,0.6232,0.6108
s031,6,24,0.4388,0.4122,0.1780,0.1677,0.1370,0.1510,0.2149,0.2035,0.3711,0.4128,0.2199,0.2012,0.1221,0.1665,0.1133,0.0594,0.1447,0.1740,0.5483,0.5066
s031,6,25,0.6270,0.6035,0.1977,0.1790,0.1653,0.1745,0.2716,0.2634,0.3674,0.4059,0.2193,0.2025,0.1047,0.1448,0.1455,0.1014,0.1444,0.1502,0.2849,0.2614
s031,6,26,0.2130,0.1982,0.1521,0.1560,0.1174,0.1045,1.2883,1.2762,1.0008,1.0478,0.3081,0.2964,0.1278,0.1669,0.1492,0.1033,0.1536,0.1834,0.3105,0.2693
s031,6,27,0.2857,0.2467,0.2365,0.2394,0.1948,0.1879,0.2523,0.2391,0.3693,0.4137,0.2162,0.1987,0.1072,0.1421,0.1281,0.1030,0.1507,0.1692,0.4158,0.3968
s031,6,28,0.2102,0.1794,0.1452,0.1293,0.1409,0.1449,0.3003,0.2855,0.3540,0.4079,0.2176,0.1851,0.1110,0.1440,0.1342,0.1091,0.1549,0.1734,0.3504,0.3272
s031,6,29,0.2599,0.2459,0.2326,0.2233,0.4370,0.4550,0.2924,0.2676,0.3566,0.3991,0.2542,0.2059,0.1057,0.1761,0.1555,0.1173,0.1851,0.2075,0.4232,0.3799
s031,6,30,0.2591,0.2010,0.1106,0.1159,0.1262,0.1180,0.2518,0.2317,0.3365,0.4012,0.2542,0.2196,0.1400,0.2084,0.1556,0.0941,0.2209,0.2370,0.2873,0.2543
s031,6,31,0.2288,0.1942,2.3592,2.3212,0.1632,0.1975,0.3217,0.3109,0.4131,0.4300,0.2382,0.2466,0.0965,0.1247,0.1494,0.1114,0.1443,0.1763,0.3053,0.2596
s031,6,32,0.1546,0.1282,0.1558,0.1605,0.1563,0.1595,0.2460,0.2157,0.6010,0.6520,0.2749,0.2352,0.1104,0.1772,0.1421,0.0983,0.1761,0.1985,0.3084,0.2622
s031,6,33,0.3655,0.3481,0.5223,0.5017,0.5395,0.5696,0.4906,0.4581,0.3878,0.4105,0.2608,0.2339,0.1097,0.1603,0.1394,0.0817,0.1165,0.1642,0.2960,0.2556
s031,6,34,0.1688,0.1414,0.2196,0.2341,0.2217,0.2367,0.2765,0.2436,1.0858,1.1092,0.5642,0.5503,0.2158,0.2464,0.1392,0.0761,0.1322,0.1813,0.3034,0.2672
s031,6,35,0.1810,0.1921,0.1500,0.1270,0.0897,0.0874,0.2172,0.2164,0.3297,0.3687,0.1702,0.1755,0.1244,0.1505,0.1463,0.1036,0.1507,0.1676,0.4121,0.3976
s031,6,36,0.2707,0.2448,0.1470,0.1177,0.1161,0.1248,0.2726,0.2713,0.4176,0.4870,0.2294,0.1571,0.1036,0.1561,0.1249,0.0753,0.1330,0.1742,0.3688,0.3361
s031,6,37,0.3406,0.2944,0.1700,0.1708,0.1660,0.1869,0.3365,0.3059,0.3712,0.4321,0.2133,0.1743,0.1266,0.1630,0.1421,0.0838,0.1154,0.1539,0.2992,0.2546
s031,6,38,0.2090,0.1248,0.8690,0.9429,0.3088,0.2740,0.3584,0.3882,1.1497,1.1441,0.2851,0.2664,0.0825,0.1221,0.1714,0.1434,0.1454,0.1742,0.3388,0.3005
s031,6,39,0.3597,0.3272,0.1589,0.1452,0.1360,0.1347,0.2476,0.2405,0.3454,0.3826,0.2062,0.2049,0.1108,0.1292,0.1418,0.1104,0.1214,0.1483,0.3208,0.2762
s031,6,40,0.2316,0.2079,0.1532,0.1336,0.1328,0.1592,0.2528,0.2278,0.3612,0.4184,0.1903,0.1824,0.1297,0.1603,0.1156,0.0674,0.1363,0.1470,0.2976,0.2552
s031,6,41,0.2744,0.2187,0.1344,0.1333,0.1607,0.1739,0.2655,0.2328,0.4471,0.4965,0.2170,0.1787,0.1046,0.1500,0.1154,0.0901,0.1368,0.1478,0.3126,0.2694
s031,6,42,0.1483,0.1085,0.1376,0.1368,0.1447,0.1798,0.2975,0.2734,0.8381,0.8482,0.3482,0.3342,0.1748,0.2472,0.1360,0.0637,0.1579,0.1945,0.3013,0.2585
s031,6,43,0.1580,0.1366,0.1554,0.1177,0.1027,0.1270,0.2647,0.2665,0.4814,0.5361,0.2360,0.1898,0.0967,0.1590,0.1294,0.0782,0.1402,0.1827,0.4454,0.4322
s031,6,44,0.1855,0.1396,0.1225,0.1333,0.1083,0.0769,0.2130,0.2233,0.3210,0.3490,0.1814,0.1787,0.1123,0.1422,0.1204,0.0901,0.1440,0.1595,0.3137,0.2936
s031,6,45,0.1577,0.0957,0.1362,0.1378,0.1096,0.1218,0.2626,0.2261,0.4173,0.4664,0.2415,0.2170,0.1197,0.1461,0.1040,0.0803,0.1284,0.1486,0.2970,0.2630
s031,6,46,0.1686,0.1298,0.1349,0.1452,0.1289,0.1220,0.2819,0.2698,0.3474,0.3862,0.1877,0.1869,0.1268,0.1511,0.1220,0.0927,0.1236,0.1272,0.3680,0.3741
s031,6,47,0.1923,0.1424,0.1412,0.1175,0.1326,0.1571,0.2452,0.2288,0.3618,0.4311,0.2158,0.1597,0.1336,0.2226,0.1660,0.1225,0.2526,0.2681,0.4908,0.4417
s031,6,48,0.2538,0.1825,0.1468,0.1263,0.1342,0.1215,0.2336,0.2370,0.3711,0.3976,1.1285,1.1522,0.3717,0.3801,0.1516,0.1028,0.3405,0.3452,0.3131,0.3007
s031,6,49,0.2963,0.2478,0.1695,0.1705,0.1175,0.1078,0.2676,0.2969,0.7615,0.7588,0.3112,0.2909,0.1276,0.1902,0.1299,0.0655,0.1402,0.1605,0.2892,0.2681
s031,6,50,0.2715,0.2478,0.1342,0.1268,0.1600,0.1616,0.2418,0.2391,0.3613,0.3949,0.1980,0.1966,0.1379,0.1622,0.1172,0.0745,0.1392,0.1618,0.3078,0.3094
s031,7,1,0.2891,0.2232,0.2001,0.2365,0.2801,0.2651,0.7495,0.7531,0.5556,0.6021,0.2468,0.2051,0.1329,0.1400,0.1035,0.0880,0.1584,0.1708,0.2966,0.2752
s031,7,2,0.2316,0.2261,0.1563,0.1560,0.2515,0.2650,0.3898,0.3763,0.3870,0.4519,0.2399,0.1824,0.1432,0.1841,0.1101,0.0769,0.1553,0.1455,0.2855,0.2702
s031,7,3,0.2725,0.2493,0.1639,0.1557,0.1272,0.1420,0.3795,0.3908,0.4112,0.4406,0.2537,0.2352,0.1282,0.1538,0.1279,0.0914,0.1797,0.1898,0.4042,0.3374
s031,7,4,0.3847,0.3820,0.1430,0.1209,0.1465,0.1415,0.3080,0.3188,0.4087,0.4604,0.2969,0.2436,0.1318,0.1933,0.1368,0.0859,0.1771,0.2016,0.3493,0.3155
s031,7,5,0.3554,0.3211,0.1576,0.1734,0.1560,0.1299,0.2930,0.3157,0.3881,0.4203,0.2925,0.2584,0.1561,0.2097,0.1719,0.1534,0.2473,0.2083,0.3143,0.2900
s031,7,6,0.3100,0.2575,0.1747,0.1819,0.2239,0.2268,0.4204,0.4251,0.3680,0.3839,0.2624,0.2571,0.2089,0.2698,0.1925,0.1112,0.2151,0.2339,0.3243,0.2852
s031,7,7,0.3346,0.3148,0.1766,0.1415,0.1518,0.1705,0.2742,0.2774,0.3954,0.4357,0.4927,0.4883,0.2635,0.3007,0.1862,0.1154,0.1942,0.2027,0.3361,0.3081
s031,7,8,0.2704,0.2459,0.1410,0.1439,0.1378,0.1272,0.2623,0.2592,0.3836,0.4364,0.2197,0.1740,0.1134,0.1731,0.1262,0.0597,0.1476,0.1834,0.2709,0.2448
s031,7,9,0.2792,0.2557,0.1436,0.1162,0.1405,0.1605,0.2523,0.2412,0.3909,0.4422,0.2698,0.2410,0.1171,0.1780,0.1428,0.0737,0.1708,0.1845,0.3308,0.2986
s031,7,10,0.3385,0.2717,0.1964,0.2318,0.1845,0.1650,0.3128,0.2785,0.3377,0.3818,0.2646,0.2450,0.0878,0.1569,0.2067,0.1220,0.1647,0.1993,0.8816,0.9222
s031,7,11,0.3897,0.3557,0.1312,0.1333,0.1449,0.1262,0.2162,0.2133,0.3897,0.4390,0.2315,0.1988,0.1118,0.1704,0.1365,0.1104,0.1721,0.1649,0.3118,0.2725
s031,7,12,0.2517,0.2264,0.1344,0.1256,0.1217,0.1167,0.2280,0.2296,0.3677,0.4115,0.2286,0.1977,0.1410,0.2103,0.1405,0.0671,0.1482,0.1948,0.4076,0.3715
s031,7,13,0.2517,0.1989,0.1128,0.1038,0.1088,0.1170,0.2351,0.2420,0.3103,0.3444,0.2891,0.2653,0.1216,0.1913,0.1228,0.0302,0.1289,0.1948,0.3451,0.2857
s031,7,14,0.1498,0.1131,0.1478,0.1481,0.1083,0.0851,0.9598,0.9643,0.4116,0.4451,0.3117,0.3140,0.1750,0.2204,0.1465,0.0792,0.1776,0.2623,0.5042,0.4161
s031,7,15,0.1889,0.1519,0.1447,0.1400,0.1225,0.1029,0.2383,0.2360,0.3411,0.3741,0.1956,0.1763,0.1331,0.1846,0.1603,0.1254,0.1689,0.1837,0.3031,0.2704
s031,7,16,0.2013,0.1678,0.1228,0.0987,0.1000,0.1016,0.2050,0.2177,0.5385,0.5654,0.2341,0.2151,0.1226,0.1714,0.1346,0.1051,0.1587,0.1735,0.3027,0.2686
s031,7,17,0.1097,0.0894,0.1825,0.1758,0.1241,0.1059,0.3338,0.3462,0.6907,0.7482,0.3291,0.2737,0.1592,0.2181,0.1352,0.0792,0.1599,0.1800,0.3092,0.2744
s031,7,18,0.1317,0.1063,0.1457,0.1341,0.1022,0.0972,0.2003,0.2037,0.2944,0.3288,0.1730,0.1640,0.1260,0.1537,0.1273,0.0998,0.1399,0.1473,0.9256,0.9370
s031,7,19,0.1667,0.1258,0.1402,0.1534,0.1267,0.0995,0.2995,0.3125,0.4438,0.4615,0.2249,0.2190,0.1349,0.1867,0.1259,0.0621,0.1242,0.1597,0.2912,0.2633
s031,7,20,0.2098,0.1638,0.1497,0.1524,0.1819,0.1948,0.3220,0.3125,0.5558,0.5815,0.2714,0.2373,0.1474,0.2125,0.1463,0.1360,0.2011,0.2030,0.4021,0.3483
s031,7,21,0.2068,0.1601,0.1457,0.1177,0.1172,0.1389,0.2547,0.2431,0.4200,0.4567,0.2308,0.1970,0.1337,0.1934,0.1331,0.0885,0.1474,0.1639,0.3015,0.2720
s031,7,22,0.2564,0.2166,0.1647,0.1233,0.1181,0.1563,0.2531,0.2537,0.3765,0.4045,0.2165,0.1813,0.1513,0.2012,0.1035,0.0573,0.1385,0.1779,0.3269,0.2672
s031,7,23,0.1834,0.1454,0.1383,0.1214,0.1040,0.1143,0.2539,0.2544,0.5194,0.5355,0.2233,0.2012,0.1215,0.1645,0.1328,0.1135,0.1502,0.1832,0.3464,0.2891
s031,7,24,0.1662,0.1237,0.1510,0.1526,0.1315,0.1325,0.3858,0.4133,0.8673,0.8927,0.2429,0.1795,0.1128,0.1656,0.1355,0.1128,0.1568,0.1713,0.3686,0.3282
s031,7,25,0.1419,0.1287,0.1618,0.1376,0.1231,0.1107,0.2690,0.2903,0.4603,0.4946,0.5809,0.5733,0.2292,0.2471,0.1381,0.0988,0.1636,0.1786,0.7023,0.6849
s031,7,26,0.1854,0.1767,0.1341,0.1040,0.1201,0.1376,0.2589,0.2491,0.3316,0.3575,0.1809,0.1735,0.1218,0.1701,0.1540,0.1397,0.1341,0.1494,0.3295,0.2717
s031,7,27,0.1242,0.0902,0.1394,0.1333,0.1270,0.1370,0.3317,0.3373,0.9968,1.0084,0.6657,0.6013,0.1284,0.2253,0.1307,0.0679,0.1484,0.1761,0.2913,0.2514
s031,7,28,0.1356,0.1118,0.1470,0.1201,0.1149,0.1210,0.3220,0.3468,0.7081,0.7178,0.3149,0.2783,0.1007,0.1653,0.1642,0.1547,0.1573,0.1473,1.1974,1.2201
s031,7,29,0.2523,0.2058,0.0929,0.0948,0.1120,0.1006,1.4340,1.4282,0.3226,0.3320,0.2348,0.2484,0.1355,0.1809,0.1727,0.1843,0.1916,0.1655,0.3171,0.2635
s031,7,30,0.1598,0.1255,0.1072,0.1104,0.1054,0.0914,0.2259,0.2169,0.3529,0.3862,0.1687,0.1682,0.0969,0.1199,0.1231,0.1080,0.1344,0.1291,0.2855,0.2604
s031,7,31,1.2033,1.1629,0.2631,0.2845,0.1777,0.1521,0.2542,0.2492,0.3065,0.3242,0.1679,0.1816,0.1234,0.1389,0.1230,0.1146,0.1214,0.1219,0.2717,0.2361
s031,7,32,0.1126,0.0773,0.1295,0.1210,0.1162,0.1236,0.3342,0.3539,0.6922,0.6896,0.2820,0.2551,0.1279,0.1574,0.1763,0.0861,0.0969,0.2236,0.3311,0.2606
s031,7,33,0.1364,0.1396,0.2368,0.1991,0.1241,0.1151,0.4262,0.4449,0.3555,0.3748,0.2091,0.1835,0.1155,0.1535,0.1730,0.2321,0.3581,0.2167,0.5040,0.5306
s031,7,34,0.1659,0.1253,0.1386,0.0921,0.1006,0.1247,0.2159,0.2238,0.3374,0.3752,0.1822,0.1673,0.1305,0.1596,0.1516,0.1597,0.1855,0.1745,0.3422,0.2926
s031,7,35,0.1567,0.1153,0.1373,0.1204,0.1299,0.1471,0.2795,0.2903,0.4092,0.4274,0.1998,0.1787,0.1123,0.1366,0.1300,0.1186,0.1161,0.1483,0.3387,0.2817
s031,7,36,0.2939,0.2440,0.1267,0.1309,0.0977,0.0835,0.7576,0.7724,0.3440,0.3577,0.2122,0.2249,0.1511,0.2128,0.2276,0.1484,0.1728,0.1802,0.2991,0.2630
s031,7,37,0.1295,0.1182,0.1410,0.1487,0.1479,0.1294,0.2642,0.2908,0.9163,0.9367,0.2645,0.2249,0.1408,0.1801,0.1077,0.0740,0.1302,0.1483,0.3055,0.2662
s031,7,38,0.3396,0.2932,0.1661,0.1703,0.1394,0.1425,0.5945,0.6048,0.4653,0.4794,0.2551,0.2450,0.1141,0.1709,0.1373,0.0914,0.1234,0.1463,0.3354,0.2968
s031,7,39,0.1818,0.1639,0.7139,0.7023,0.4896,0.4940,1.0075,0.9664,0.4028,0.4556,0.3284,0.3152,0.1377,0.1759,0.1687,0.1613,0.1597,0.1753,0.3438,0.2818
s031,7,40,0.6114,0.5665,0.1423,0.1323,1.3554,1.3974,0.2745,0.2404,0.5268,0.5641,0.2490,0.2207,0.1239,0.1648,0.2331,0.2397,0.4864,0.4566,0.3185,0.2860
s031,7,41,0.1398,0.0929,0.1600,0.1589,0.1278,0.1349,0.8993,0.8935,0.5377,0.5214,0.2178,0.2368,0.1084,0.1487,0.1365,0.1030,0.1180,0.1486,0.2820,0.2311
s031,7,42,0.2461,0.1994,0.1375,0.1478,0.1336,0.1204,0.2338,0.2190,0.3081,0.3243,0.1629,0.1861,0.0948,0.1080,0.1556,0.1326,0.1243,0.1378,0.2657,0.2327
s031,7,43,0.1129,0.0754,0.1386,0.1278,0.1020,0.1022,0.2771,0.2843,0.4889,0.5039,0.2560,0.2283,0.1276,0.1862,0.1135,0.0795,0.1376,0.1811,0.3303,0.2622
s031,7,44,0.2845,0.2354,0.1215,0.1233,0.1343,0.1285,0.2145,0.2037,0.3575,0.4183,0.2002,0.1822,0.1292,0.1706,0.1299,0.0927,0.1233,0.1460,0.2826,0.2301
s031,7,45,0.1119,0.0955,0.1863,0.1990,0.1600,0.1394,0.2895,0.2864,0.3567,0.3762,0.1859,0.1819,0.1104,0.1342,0.1218,0.1009,0.1264,0.1486,0.2942,0.2443
s031,7,46,0.1185,0.0845,0.1400,0.1452,0.1275,0.1223,0.3956,0.3937,0.3795,0.3951,0.1882,0.1866,0.0980,0.1249,0.1291,0.1001,0.1283,0.1547,0.3145,0.2699
s031,7,47,0.2794,0.2675,0.1671,0.1281,0.1199,0.1473,0.5961,0.6104,0.3519,0.3699,0.2015,0.1882,0.1225,0.1532,0.1233,0.1167,0.1291,0.1478,0.3317,0.2625
s031,7,48,0.1192,0.0773,0.1442,0.1370,0.1064,0.1088,0.2898,0.3085,0.7609,0.7620,0.2117,0.1961,0.1236,0.1571,0.1252,0.2044,0.2035,0.1942,0.6068,0.5092
s031,7,49,0.4810,0.4958,0.2611,0.2373,0.1726,0.1652,0.5291,0.5088,0.5954,0.6476,0.2967,0.2759,0.0684,0.1022,0.1748,0.2138,0.2423,0.2302,0.4475,0.3514
s031,7,50,0.1456,0.0863,0.1590,0.1518,0.0713,0.0706,0.2943,0.3077,0.3859,0.4205,0.2283,0.2103,0.1075,0.1295,0.1141,0.1101,0.1286,0.1616,0.3668,0.3018
s031,8,1,0.1958,0.1615,0.1344,0.1196,0.1268,0.1278,0.6022,0.5774,0.3766,0.4379,0.2186,0.1674,0.1255,0.1653,0.1040,0.0708,0.1534,0.1753,0.3533,0.3316
s031,8,2,0.2245,0.1788,0.1238,0.1494,0.1148,0.0900,0.2470,0.2536,0.4038,0.4413,0.2297,0.2110,0.1432,0.1725,0.1143,0.0832,0.1637,0.1747,0.3324,0.3073
s031,8,3,0.1974,0.1647,0.1500,0.1460,0.0972,0.1099,1.2746,1.2513,0.4238,0.4930,0.2254,0.1876,0.1180,0.1727,0.1225,0.0700,0.1508,0.1618,0.3026,0.2710
